run_id,dataset,target,rotvec_x_deg,rotvec_y_deg,rotvec_z_deg,relative_angle_deg
D1,20260820_115707_圆点标定板背面_位置1_真机_2,reference,0.0,0.0,0.0,0.0
D1,20260820_115707_圆点标定板背面_位置1_真机_2,ry_positive,-0.002627299615213688,9.997859569132979,0.000978063701462427,9.997859962182694
D1,20260820_115707_圆点标定板背面_位置1_真机_2,ry_negative,0.0012774594959225629,-9.999126432282841,-0.0006762056048987422,9.999126536749806
D1,20260820_115707_圆点标定板背面_位置1_真机_2,rx_positive,9.997259920838419,-0.0006028829136463045,0.0009696252524946757,9.99725998603833
D1,20260820_115707_圆点标定板背面_位置1_真机_2,rx_negative,-9.995627383374337,0.0008530056101222201,-0.0011344747437039306,9.995627484150978
D1,20260820_115707_圆点标定板背面_位置1_真机_2,rx_ry_positive,9.995045872268628,9.995863884208365,0.002358587479315422,14.135708059496354
D2,20260820_132928_圆点标定板背面_位置1_真机_3,reference,0.0,0.0,0.0,0.0
D2,20260820_132928_圆点标定板背面_位置1_真机_3,ry_positive,-0.003976156630254149,9.99778462767256,0.001431339102057022,9.99778552079804
D2,20260820_132928_圆点标定板背面_位置1_真机_3,ry_negative,0.0008455273865505577,-9.999529064681138,-0.0004548651683682855,9.999529110774253
D2,20260820_132928_圆点标定板背面_位置1_真机_3,rx_positive,9.997307210096672,-0.000184517522564209,0.0009603559715668174,9.997307257926067
D2,20260820_132928_圆点标定板背面_位置1_真机_3,rx_negative,-9.997457366512977,0.00020277131501300348,-0.0007981520145507345,9.997457400429743
D2,20260820_132928_圆点标定板背面_位置1_真机_3,rx_ry_positive,9.993663039658781,9.996303886926762,0.0028018666913580017,14.135041570525573
D3,20260820_133622_圆点标定板背面_位置1_真机_5,reference,0.0,0.0,0.0,0.0
D3,20260820_133622_圆点标定板背面_位置1_真机_5,ry_positive,-0.004832738240598932,9.998550949248536,0.00144496913834662,9.99855222159756
D3,20260820_133622_圆点标定板背面_位置1_真机_5,ry_negative,0.0007789562689813837,-9.996230603636434,-0.0008535015177514618,9.996230670423493
