data_rank,dataset,group,optimizer_success_rate,rotation_dispersion_deg,solver_time_s,sphere_abs_radius_error_mm,sphere_fixed_max_abs_mm,sphere_fixed_mean_abs_mm,sphere_fixed_p95_mm,sphere_fixed_rmse_mm,sphere_radius_error_mm,state_size,strict_data_convergence_rate,surface_residual_rms_mm,translation_dispersion_mm,trials,usable_solution_rate,weighted_data_residual_rms_mm
12.0,20260820_115707_圆点标定板背面_位置1_真机_2,A_ideal_plane,1.0,0.014221295868629158,0.004384652005683165,0.16955023008071585,0.823891739097202,0.1079303476023786,0.28456970512732993,0.1409578161544748,0.16955023008071585,12.0,1.0,0.05448724640522581,0.021463677049965546,5,1.0,0.005424731797215865
19.0,20260820_115707_圆点标定板背面_位置1_真机_2,B_shared_morphology,1.0,0.014185960278750707,0.3634480269975029,0.16745576797612752,0.8181733321075759,0.10904610387409401,0.285196320818264,0.14211832949669156,0.16745576797612752,19.0,1.0,0.05300803021173417,0.020443805297244703,5,1.0,0.005330875693253012
54.0,20260820_115707_圆点标定板背面_位置1_真机_2,C_pose_specific_morphology,1.0,0.10335722795675047,2.5184465809943504,0.5103183591582735,2.7381327846372785,0.47060589367239586,1.4595282928911022,0.6543717491088951,0.5103183591582735,54.0,1.0,0.04753838727320539,0.07892625381441638,5,1.0,0.004685978828136424
12.0,20260820_132928_圆点标定板背面_位置1_真机_3,A_ideal_plane,1.0,0.0016735274208538582,0.004369496993604116,0.2926605799114905,0.8504211811758804,0.2065587972840874,0.4727455736543661,0.24969018474146226,0.2926605799114905,12.0,1.0,0.06763779072946871,0.0030715274132984563,5,1.0,0.007924901677302526
19.0,20260820_132928_圆点标定板背面_位置1_真机_3,B_shared_morphology,1.0,0.001695877917772181,0.476181229998474,0.30993683646697057,0.9342481422632936,0.22307141777086797,0.5028644581920376,0.2698403136485149,0.30993683646697057,19.0,1.0,0.06733823925574078,0.0031960477441684877,5,1.0,0.007882635260029223
54.0,20260820_132928_圆点标定板背面_位置1_真机_3,C_pose_specific_morphology,1.0,0.0011873830151903062,2.965911480001523,3.2809104506984834,3.894985697666416,1.0729326099724645,2.574215378610403,1.3238618448869508,3.2809104506984834,54.0,1.0,0.04335096781154925,0.004583323278763399,5,1.0,0.00541815444603744
12.0,20260820_133622_圆点标定板背面_位置1_真机_5,A_ideal_plane,1.0,0.008057619162711537,0.004310272001021076,0.38993240691780756,1.0652608581569276,0.18212149959268992,0.4264451961673163,0.22363612829053914,0.38993240691780756,12.0,1.0,0.08247315893232864,0.02700225775340865,5,1.0,0.007752369445716974
19.0,20260820_133622_圆点标定板背面_位置1_真机_5,B_shared_morphology,1.0,0.008653509721315848,0.6755054529930931,0.36441371949839235,1.047665789461468,0.179513769068578,0.41446584861771923,0.21964553193637298,0.36441371949839235,19.0,1.0,0.08004545421760008,0.027773858602306575,5,1.0,0.007544482773052321
54.0,20260820_133622_圆点标定板背面_位置1_真机_5,C_pose_specific_morphology,1.0,0.016301762702257635,3.356683966005221,0.1478755426264442,1.4539844393132977,0.3006821495698449,0.896605737962421,0.41259419754093235,0.1478755426264442,54.0,1.0,0.05773157888952025,0.10159069843499621,5,1.0,0.005348821752449273
12.0,20260820_135111_圆点标定板背面_位置2_真机_1,A_ideal_plane,1.0,0.005845817726675899,0.00434295699960785,0.20407897440378325,1.1003317442556064,0.2623745215166127,0.5732936879855356,0.3163188282360184,0.20407897440378325,12.0,1.0,0.10504764966509665,0.028368900132643843,5,1.0,0.008801218838258906
19.0,20260820_135111_圆点标定板背面_位置2_真机_1,B_shared_morphology,1.0,0.005947184821790833,0.35959591699793236,0.2155310923189751,1.1644481919981087,0.272393755667387,0.5964464864048058,0.3292183923000414,0.2155310923189751,19.0,1.0,0.10448668257934775,0.028885894699400054,5,1.0,0.008741382147855463
54.0,20260820_135111_圆点标定板背面_位置2_真机_1,C_pose_specific_morphology,1.0,0.009643279353571007,1.0471859140016022,2.0158999037243572,3.4808719239190524,0.929338532349746,2.247799014895888,1.1462343433854565,2.0158999037243572,54.0,1.0,0.08337849149404472,0.05348986111220648,5,1.0,0.006247958240493939
12.0,20260820_140109_圆点标定板背面_位置2_真机_2,A_ideal_plane,1.0,0.002397545262670859,0.004408188993693329,0.38818715888963745,1.3745746436338857,0.3302462280745285,0.7368652545775257,0.4001729091506248,0.38818715888963745,12.0,1.0,0.11987562431083998,0.006313738071313733,5,1.0,0.010734506258165551
19.0,20260820_140109_圆点标定板背面_位置2_真机_2,B_shared_morphology,1.0,0.002945960008503109,0.41453418799937936,0.3541910523134576,1.284383640814171,0.31138204643619305,0.6920884674994913,0.3756328167526694,0.3541910523134576,19.0,1.0,0.11937287233871754,0.007030647618803007,5,1.0,0.010682416680041025
54.0,20260820_140109_圆点标定板背面_位置2_真机_2,C_pose_specific_morphology,1.0,0.0033905841593275476,2.7917440430028364,0.15926309983869263,3.4937125500554176,0.7480241221013533,2.037744805670521,1.002599291043015,0.15926309983869263,54.0,1.0,0.07193780923868812,0.008497850269095778,5,1.0,0.005477748094648089
12.0,20260820_141546_原点标定板背面_位置3_真机_1,A_ideal_plane,1.0,0.0015308960705552217,0.00438269699952798,0.2743971445022045,1.5607158812035016,0.19066883375011157,0.5671169443777786,0.26312511157062,0.2743971445022045,12.0,1.0,0.11792652093671568,0.005485390335151285,5,1.0,0.010892707135049026
19.0,20260820_141546_原点标定板背面_位置3_真机_1,B_shared_morphology,1.0,0.001583906171850021,0.7587122330005514,0.2824229653775878,1.5269169679978343,0.18865938377397684,0.5513205696299301,0.258053022742518,0.2824229653775878,19.0,1.0,0.11074418854998135,0.005630798040644062,5,1.0,0.010282070385356666
54.0,20260820_141546_原点标定板背面_位置3_真机_1,C_pose_specific_morphology,1.0,0.0017109871289260228,1.6002010910015088,2.6449363031152315,4.584119185112572,1.2798486244355927,3.5358254954162907,1.6621558732526307,2.6449363031152315,54.0,1.0,0.07307229790559383,0.014785296192170968,5,1.0,0.0061016042923848265
12.0,20260820_144753_焊接书_位置1_真机_1,A_ideal_plane,1.0,0.008623222366292779,0.004315090001909994,0.3315874033128566,0.9187655113984412,0.16420795947706557,0.37778816035348556,0.1992796611835722,0.3315874033128566,12.0,1.0,0.1706683513367821,0.016074834525842907,5,1.0,0.013157387102910208
19.0,20260820_144753_焊接书_位置1_真机_1,B_shared_morphology,1.0,0.009471776284278033,0.43011877100070706,0.34758375813140685,0.9502423373552397,0.167609572914397,0.3791314482326808,0.20275952170052247,0.34758375813140685,19.0,1.0,0.1296546079968943,0.01720039179759737,5,1.0,0.01127215846270507
12.0,20260820_150032_生锈的刚板_位置1_真机_1,A_ideal_plane,1.0,0.010020901134769503,0.00433157299994491,0.23152230221173098,1.033683999341067,0.24288811802899707,0.5188390002971598,0.290429190395035,0.23152230221173098,12.0,1.0,0.0736216808068828,0.040441640129249286,5,1.0,0.006301397418002669
19.0,20260820_150032_生锈的刚板_位置1_真机_1,B_shared_morphology,1.0,0.010203403122171982,0.31019468199519906,0.2001480927027663,0.9312408004778714,0.22149122983228622,0.47760979000735876,0.2638288855219719,0.2001480927027663,19.0,1.0,0.07202323386377169,0.04005208351801815,5,1.0,0.00617287087276981
54.0,20260820_150032_生锈的刚板_位置1_真机_1,C_pose_specific_morphology,1.0,0.027475015017406523,1.1536527229982312,1.807528787194342,2.9717327338330253,0.7465353680829754,1.8772785012589488,0.9285258199206547,1.807528787194342,54.0,1.0,0.06269677270483084,0.06332619188395254,5,1.0,0.004665733719919089
