iteration,q_a_mm,q_z_mm,x_mid_mm,L_mm,x_error_mm,L_error_mm,J_x_qa,J_x_qz,J_L_qa,J_L_qz
0,0.0,0.0,15.0,120.0,15.0,40.0,0.8000000000000007,0.19986989335409078,0.2560000000000002,1.597999999999999
1,-5.0,-5.0,10.090961090823814,110.85000000000001,10.090961090823814,30.85000000000001,0.7909689442407541,0.1908388375948442,0.24400000000023978,1.5860000000002386
2,-10.0,-10.0,5.420406152257765,101.89999999999999,5.420406152257765,21.89999999999999,0.7671205471800367,0.16699044053412684,0.22400000000040235,1.566000000000401
3,-13.212605382588205,-15.0,2.3928486235020276,93.29428630032893,2.3928486235020276,13.294286300328935,0.742394413417155,0.12850744804321373,0.22910167288649205,1.5739400864388724
4,-14.634123864295935,-20.0,0.9313594827794247,84.82641452157935,0.9313594827794247,4.826414521579352,0.7299590609697716,0.08476776893456002,0.24343743297289094,1.6243641937258095
5,-15.358886918425751,-22.22706682240947,0.26086906410257243,81.02425879972063,0.26086906410257243,1.0242587997206272,0.7237038348795329,0.06554658152322529,0.24451479957871944,1.6276747479955678
6,-15.58990140913541,-22.687378064899946,0.06568109980179172,80.2315556526362,0.06568109980179172,0.23155565263620304,0.7218139986630437,0.06178096121844119,0.23317519100648754,1.605079848016761
7,-15.64942221017084,-22.792183158903757,0.016322756547033607,80.05061065998638,0.016322756547033607,0.050610659986375595,0.7214880027444072,0.0612069428533788,0.2284455715119416,1.596751865074578
